"age_group","siblings_group","city_or_village","Gender","dwelling_type","trance1","trance2","trance3","trance4","trance5"
"15-16","one_sibling","city","female","block of flats",2,2,1,2,0
"15-16","one_sibling","city","female","house/bungalow",0,0,0,1,0
"15-16","one_sibling","city","male","block of flats",0,1,1,0,0
"15-16","one_sibling","city","male","house/bungalow",0,1,0,0,0
"15-16","one_sibling","village","female","house/bungalow",5,0,1,2,0
"15-16","one_sibling","village","male","house/bungalow",0,0,1,0,1
"15-16","only_child","city","female","block of flats",1,2,1,1,0
"15-16","only_child","city","female","house/bungalow",0,1,0,0,0
"15-16","only_child","city","male","block of flats",0,0,0,1,0
"15-16","only_child","village","female","house/bungalow",0,1,0,0,0
"15-16","only_child","village","male","house/bungalow",0,0,1,0,0
"15-16","two_plus_siblings","city","female","block of flats",0,0,1,0,0
"15-16","two_plus_siblings","city","female","house/bungalow",0,1,0,0,1
"15-16","two_plus_siblings","city","male","block of flats",0,0,0,0,1
"15-16","two_siblings","city","female","block of flats",0,0,2,0,0
"15-16","two_siblings","city","female","house/bungalow",1,0,0,0,0
"15-16","two_siblings","village","female","block of flats",0,0,0,0,1
"15-16","two_siblings","village","female","house/bungalow",0,1,0,0,0
"17","one_sibling","city","female","block of flats",4,2,2,0,0
"17","one_sibling","city","female","house/bungalow",0,1,0,0,0
"17","one_sibling","city","male","block of flats",0,0,0,4,0
"17","one_sibling","city","male","house/bungalow",1,1,1,0,0
"17","one_sibling","village","female","block of flats",0,1,0,0,0
"17","one_sibling","village","female","house/bungalow",0,1,0,1,0
"17","one_sibling","village","male","house/bungalow",1,0,0,2,1
"17","only_child","city","female","block of flats",2,2,1,0,0
"17","only_child","city","female","house/bungalow",0,3,0,0,0
"17","only_child","city","male","block of flats",0,0,1,0,0
"17","only_child","city","male","house/bungalow",1,0,0,0,0
"17","only_child","village","female","house/bungalow",1,0,2,0,0
"17","two_plus_siblings","city","female","block of flats",0,1,1,0,0
"17","two_plus_siblings","city","female","house/bungalow",1,0,0,0,0
"17","two_plus_siblings","city","male","block of flats",0,0,0,1,0
"17","two_plus_siblings","village","female","house/bungalow",1,1,0,0,0
"17","two_siblings","city","female","block of flats",1,2,0,2,0
"17","two_siblings","city","male","block of flats",1,0,1,0,0
"17","two_siblings","city","male","house/bungalow",0,0,0,0,1
"17","two_siblings","village","female","house/bungalow",0,0,1,0,0
"17","two_siblings","village","male","house/bungalow",0,0,0,1,0
"18","one_sibling","city","female","block of flats",12,2,3,3,0
"18","one_sibling","city","female","house/bungalow",4,1,1,2,1
"18","one_sibling","city","male","",1,0,0,0,0
"18","one_sibling","city","male","block of flats",2,2,3,2,0
"18","one_sibling","city","male","house/bungalow",0,1,3,0,0
"18","one_sibling","village","female","block of flats",0,0,0,1,0
"18","one_sibling","village","female","house/bungalow",3,3,3,1,1
"18","one_sibling","village","male","block of flats",1,0,0,0,0
"18","one_sibling","village","male","house/bungalow",2,1,0,0,0
"18","only_child","city","female","block of flats",4,3,2,2,1
"18","only_child","city","male","block of flats",5,0,0,0,0
"18","only_child","village","","house/bungalow",0,1,0,0,0
